,Date,Open,High,Low,Close,Adj Close,Volume,logr,sr
count,252,252.0,252.0,252.0,252.0,252.0,252.0,251.0,251.0
mean,2010-06-16 14:17:08.571428608,1647.6702333373016,1701.7741696547619,1589.6713079722222,1655.9426187142856,1655.9426187142856,66662331865.07937,0.003947673308900671,0.004921318751315763
min,2000-01-01 00:00:00,729.570007,832.97998,666.789978,735.090027,735.090027,19089100000.0,-0.18563647358546387,-0.16942452376741993
25%,2005-03-24 06:00:00,1159.459961,1198.7050479999998,1111.7974545000002,1159.459961,1159.459961,39245030000.0,-0.0179384887802283,-0.017778551134243453
50%,2010-06-16 00:00:00,1396.159973,1429.2450565,1333.25,1396.1849975,1396.1849975,70416325000.0,0.009930511742742176,0.00997998289683048
75%,2015-09-08 12:00:00,2067.0424805000002,2111.45251475,1995.19751,2067.6425175,2067.6425175,83711860000.0,0.030332895170120278,0.03079776299829258
max,2020-12-01 00:00:00,3645.870117,3760.199951,3633.399902,3756.070068,3756.070068,161843640000.0,0.11942083884125143,0.1268440382566383
std,NaN,666.4472224816261,691.4914216769946,651.1789993725723,677.9355253606324,677.9355253606324,29810389351.54098,0.04416751879967164,0.04374073839145435
skew,NaN,1.013681714526748,1.0740522911689179,0.9881980827669309,1.0293155067348683,1.0293155067348683,0.35721299152626484,-0.7110830933453083,-0.5199332199265635
kurt,NaN,-0.006091003199641953,0.13483313504469052,-0.006700969248415678,0.06067391203759431,0.06067391203759431,0.10225425219310313,1.4564156545609084,1.094639052784216
