DATE,SP500,AAPL_Close,AAPL_Adj_Close,RF_%
2011/4/1,1331.505,12.504643,10.771044,0
2011/5/1,1338.310476,12.4225,10.700285,0
2011/6/1,1287.288636,11.988214,10.326209,0
2011/7/1,1325.1845,13.945714,12.012326,0
2011/8/1,1185.305652,13.743929,11.838518,0.01
2011/9/1,1173.879048,13.618571,11.730541,0
2011/10/1,1207.21619,14.456429,12.452241,0
2011/11/1,1226.414286,13.65,11.757608,0
2011/12/1,1243.322857,14.464286,12.459009,0
2012/1/1,1300.5775,16.302856,14.042683,0
2012/2/1,1352.4875,19.372856,16.687073,0
2012/3/1,1389.24,21.4125,18.443945,0
2012/4/1,1386.429,20.856428,17.964962,0
2012/5/1,1341.272727,20.633215,17.772696,0.01
2012/6/1,1323.484286,20.857143,17.96558,0
2012/7/1,1359.77619,21.812857,18.788801,0
2012/8/1,1403.440435,23.758572,20.464766,0.01
2012/9/1,1443.419474,23.825001,20.610096,0.01
2012/10/1,1437.816667,21.261429,18.392447,0.01
2012/11/1,1394.512381,20.902857,18.08226,0.01
2012/12/1,1422.2855,19.006071,16.51652,0.01
2013/1/1,1480.395238,16.2675,14.136668,0
2013/2/1,1512.311579,15.764286,13.699365,0
2013/3/1,1550.829,15.809286,13.818541,0
2013/4/1,1570.702273,15.813571,13.822287,0
2013/5/1,1639.842727,16.061787,14.039246,0
2013/6/1,1618.7725,14.161786,12.46043,0
2013/7/1,1668.675455,16.161785,14.220158,0
2013/8/1,1670.093636,17.400715,15.310246,0
2013/9/1,1687.1735,17.026787,15.08016,0
2013/10/1,1720.026522,18.667856,16.533607,0
2013/11/1,1783.541,19.859644,17.589146,0
2013/12/1,1807.775238,20.036428,17.849323,0
2014/1/1,1822.356667,17.878571,15.927006,0
2014/2/1,1817.034737,18.794287,16.742769,0
2014/3/1,1863.523333,19.169287,17.179056,0
2014/4/1,1864.263333,21.074642,18.886589,0
2014/5/1,1889.767143,22.607143,20.259981,0
2014/6/1,1947.087619,23.2325,20.936701,0
2014/7/1,1973.1,23.9,21.538235,0
2014/8/1,1961.531905,25.625,23.092773,0
2014/9/1,1993.22619,25.1875,22.811411,0
2014/10/1,1937.274348,27,24.452927,0
2014/11/1,2044.572105,29.7325,26.927656,0
2014/12/1,2054.266364,27.594999,25.100164,0
2015/1/1,2028.1785,29.290001,26.641926,0
2015/2/1,2082.195789,32.115002,29.211523,0
2015/3/1,2079.990455,31.1075,28.406776,0
2015/4/1,2094.862857,31.2875,28.571152,0
2015/5/1,2111.9435,32.57,29.742304,0
2015/6/1,2099.283636,31.3575,28.754684,0
2015/7/1,2094.143636,30.325001,27.807886,0
2015/8/1,2039.86619,28.190001,25.850096,0
2015/9/1,1944.402381,27.575001,25.4006,0
2015/10/1,2024.812727,29.875,27.519243,0
2015/11/1,2080.6165,29.575001,27.242897,0
2015/12/1,2054.079545,26.315001,24.343718,0.01
2016/1/1,1918.597895,24.334999,22.512041,0.01
2016/2/1,1904.4185,24.172501,22.361717,0.02
2016/3/1,2021.954091,27.247499,25.343138,0.02
2016/4/1,2075.535238,23.434999,21.7971,0.01
2016/5/1,2065.550952,24.965,23.220165,0.01
2016/6/1,2083.891364,23.9,22.364946,0.02
2016/7/1,2148.902,26.0525,24.379189,0.02
2016/8/1,2177.482174,26.525,24.821346,0.02
2016/9/1,2157.690952,28.262501,26.590519,0.02
2016/10/1,2143.020952,28.385,26.705769,0.02
2016/11/1,2164.985714,27.629999,25.995438,0.01
2016/12/1,2246.629048,28.955,27.381918,0.03
2017/1/1,2275.116,30.3375,28.689308,0.04
2017/2/1,2329.910526,34.247501,32.386887,0.04
2017/3/1,2366.822174,35.915001,34.111042,0.03
2017/4/1,2359.309474,35.912498,34.108673,0.05
2017/5/1,2395.345909,38.189999,36.27177,0.06
2017/6/1,2433.985455,36.005001,34.337669,0.06
2017/7/1,2454.1025,37.182499,35.460644,0.07
2017/8/1,2456.223043,41,39.101368,0.09
2017/9/1,2492.841,38.529999,36.890041,0.09
2017/10/1,2556.997273,42.259998,40.461285,0.09
2017/11/1,2593.605714,42.962502,41.133884,0.08
2017/12/1,2664.3405,42.307499,40.652374,0.09
2018/1/1,2789.80381,41.857498,40.21999,0.11
2018/2/1,2705.155263,44.529999,42.78793,0.11
2018/3/1,2702.77381,41.945,40.468391,0.12
2018/4/1,2653.625238,41.314999,39.860565,0.14
2018/5/1,2701.493636,46.717499,45.072868,0.14
2018/6/1,2754.352857,46.2775,44.820538,0.14
2018/7/1,2793.643333,47.572498,46.07476,0.16
2018/8/1,2857.820435,56.907501,55.115868,0.16
2018/9/1,2901.500526,56.435001,54.849937,0.15
2018/10/1,2785.464783,54.715,53.178249,0.19
2018/11/1,2723.229524,44.645,43.391079,0.18
2018/12/1,2567.307368,39.435001,38.46114,0.19
2019/1/1,2607.39,41.610001,40.582428,0.21
2019/2/1,2754.864211,43.287498,42.218506,0.18
2019/3/1,2803.98381,47.487499,46.513416,0.19
2019/4/1,2903.8,50.1675,49.138439,0.21
2019/5/1,2854.705909,43.767502,42.869724,0.21
2019/6/1,2890.166,49.48,48.65168,0.18
2019/7/1,2996.113636,53.259998,52.368397,0.19
2019/8/1,2897.498182,52.185001,51.311405,0.16
